States/UTs,Over-Speeding - Number of Accidents - Number,Over-Speeding - Number of Accidents - Rank,Over-Speeding - Persons Killed - Number,Over-Speeding - Persons Killed - Rank,Over-Speeding - Persons Injured - Greviously Injured,Over-Speeding - Persons Injured - Minor Injury,Over-Speeding - Persons Injured - Total Injured,Drunken Driving - Number of Accidents,Drunken Driving - Persons Killed,Drunken Driving - Persons Injured - Greviously Injured,Drunken Driving - Persons Injured - Minor Injury,Drunken Driving - Persons Injured - Total Injured,Driving on Wrong side - Number of Accidents,Driving on Wrong side - Persons Killed,Driving on Wrong side - Persons Injured - Greviously Injured,Driving on Wrong side - Persons Injured - Minor Injury,Driving on Wrong side - Persons Injured - Total Injured,Jumping Red Light - Number of Accidents,Jumping Red Light - Persons Killed,Jumping Red Light - Persons Injured - Greviously Injured,Jumping Red Light - Persons Injured - Minor Injury,Jumping Red Light - Persons Injured - Total Injured,Use of Mobile Phone - Number of Accidents,Use of Mobile Phone - Persons Killed,Use of Mobile Phone - Persons Injured - Greviously Injured,Use of Mobile Phone - Persons Injured - Minor Injury,Use of Mobile Phone - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Aurangabad,534,28,179,19,291,117,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,26,0,26
Mumbai,514,30,120,31,422,104,526,61,5,46,34,80,45,3,37,13,50,15,1,17,3,20,3,0,2,2,4,2234,318,1623,622,2245
Nagpur,469,34,132,29,289,203,492,39,6,28,17,45,90,14,51,45,96,0,0,0,0,0,54,2,36,18,54,355,96,208,147,355
Nashik,529,29,172,21,364,148,512,6,3,3,2,5,16,2,17,5,22,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Pune,301,37,70,42,172,47,219,21,2,6,7,13,16,4,10,2,12,14,2,11,1,12,0,0,0,0,0,439,128,264,106,370
