District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,,,,,,,,,
T,Sindhanur,691,620,-10,N,,,,,,,,,,
H,Sindhanur,691,590,-15,N,,,,,,,,,,
H,Badarli,663,741,12,N,,,,,,,,,,
H,Gorebal,649,519,-20,D,,,,,,,,,,
H,Gunjihalli,634,623,-2,N,,,,,,,,,,
H,Hadganhal,655,650,-1,N,,,,,,,,,,
H,Huda,650,650,0,N,,,,,,,,,,
H,Jalihal,638,460,-28,D,,,,,,,,,,
H,Jawalgeri,656,740,13,N,,,,,,,,,,
H,Kunatgi,660,624,-5,N,,,,,,,,,,
H,Salgundi,660,668,1,N,,,,,,,,,,
H,Turvihal,627,602,-4,N,,,,,,,,,,
H,Walkamdinni,645,755,17,N,,,,,,,,,,
T,Maski,558,714,28,E,,,,,,,,,,
H,Maski,558,649,16,N,,,,,,,,,,
H,Halapur,586,778,33,E,,,,,,,,,,
H,Pamankallur,601,794,32,E,,,,,,,,,,
H,Balganur,598,665,11,N,,,,,,,,,,
H,Gunjihalli,609,675,11,N,,,,,,,,,,
H,Turvihal,603,987,64,LE,,,,,,,,,,
H,Gudadur,573,641,12,N,,,,,,,,,,
H,Lingsugur,592,704,19,N,,,,,,,,,,
T,Sirivara,589,573,-3,N,,,,,,,,,,
H,Sirwar,589,528,-10,N,,,,,,,,,,
H,Kallur,671,530,-21,D,,,,,,,,,,
H,Mallat,624,621,-1,N,,,,,,,,,,
H,Kavital,622,611,-2,N,,,,,,,,,,
D,KALABURAGI,770,943,22,E,,,,,,,,,,
T,Afzalpur,692,825,19,N,,,,,,,,,,
H,Afzalpur,692,753,9,N,,,,,,,,,,
H,Atanur,707,915,29,E,,,,,,,,,,
H,Karajgi,664,751,13,N,,,,,,,,,,
T,Aland,763,994,30,E,,,,,,,,,,
H,Aland,763,1013,33,E,,,,,,,,,,
H,Khajuri,757,1087,44,E,,,,,,,,,,
H,Madana Hipparga,735,943,28,E,,,,,,,,,,
H,Narona,766,901,18,N,,,,,,,,,,
H,Nimbarga Tanda,761,959,26,E,,,,,,,,,,
T,Chincholi,913,920,1,N,,,,,,,,,,
H,Chincholi,913,891,-2,N,,,,,,,,,,
H,Ainapur,783,970,24,E,,,,,,,,,,
H,Sulepet,874,851,-3,N,,,,,,,,,,
H,Kodli Chincholi,896,1019,14,N,,,,,,,,,,
T,CHITTAPUR,771,1066,38,E,,,,,,,,,,
H,Chittapur,771,1073,39,E,,,,,,,,,,
H,Gundgurti,777,1158,49,E,,,,,,,,,,
H,Nalavara,791,1000,26,E,,,,,,,,,,
T,Kalaburagi,794,1036,31,E,,,,,,,,,,
H,Kalaburagi,794,1047,32,E,,,,,,,,,,
H,Aurad,777,1070,38,E,,,,,,,,,,
H,Farhatabad,779,939,21,E,,,,,,,,,,
H,Pattan,772,1049,36,E,,,,,,,,,,
T,Jevargi,805,819,2,N,,,,,,,,,,
H,Jewargi,805,823,2,N,,,,,,,,,,
H,Andola,792,858,8,N,,,,,,,,,,
H,Nelogi,753,747,-1,N,,,,,,,,,,
T,Sedam,791,913,15,N,,,,,,,,,,
H,Sedam,791,910,15,N,,,,,,,,,,
H,Adki,807,883,9,N,,,,,,,,,,
H,Kodla,799,928,16,N,,,,,,,,,,
H,Mudhol,807,866,7,N,,,,,,,,,,
T,Kalagi,766,1263,65,LE,,,,,,,,,,
H,Kalagi,766,1311,71,LE,,,,,,,,,,
H,Kodli,774,1193,54,E,,,,,,,,,,
H,Gundgurti,773,1223,58,E,,,,,,,,,,
T,Kamalapura,762,959,26,E,,,,,,,,,,
H,Kamalapur,762,944,24,E,,,,,,,,,,
H,Mahagaon Tanda,772,985,28,E,,,,,,,,,,
H,Narona,770,889,15,N,,,,,,,,,,
H,Ainapur,780,1049,35,E,,,,,,,,,,
T,Yadrami,687,630,-8,N,,,,,,,,,,
H,Yadrami,687,652,-5,N,,,,,,,,,,
H,Ijeri,750,592,-21,D,,,,,,,,,,
T,Shahbadha,758,1036,37,E,,,,,,,,,,
H,Shahabad,758,1020,34,E,,,,,,,,,,
D,BIDAR,838,907,8,N,,,,,,,,,,
T,Aurad,854,984,15,N,,,,,,,,,,
H,Aurad,854,875,2,N,,,,,,,,,,
H,Chintaki,872,1077,23,E,,,,,,,,,,
H,Santpur,874,996,14,N,,,,,,,,,,
T,Bidar,939,917,-2,N,,,,,,,,,,
H,Bidar,939,1017,8,N,,,,,,,,,,
H,Bagadhal,843,935,11,N,,,,,,,,,,
H,Bidar South,935,894,-4,N,,,,,,,,,,
H,Janwada,909,826,-9,N,,,,,,,,,,
H,Kamthana,906,941,4,N,,,,,,,,,,
H,Manalli,890,849,-5,N,,,,,,,,,,
T,Bhalki,874,942,8,N,,,,,,,,,,
H,Bhalki,874,901,3,N,,,,,,,,,,
H,Halburga,875,859,-2,N,,,,,,,,,,
H,Khatak Chincholi,833,823,-1,N,,,,,,,,,,
H,Lakangaon,877,995,13,N,,,,,,,,,,
H,Nittur Buzurg,873,1151,32,E,,,,,,,,,,
H,Saigaon,769,868,13,N,,,,,,,,,,
T,Basavakalyan,790,833,5,N,,,,,,,,,,
H,Basavakalyan,790,805,2,N,,,,,,,,,,
H,Kohinoor,775,829,7,N,,,,,,,,,,
H,Matala,787,816,4,N,,,,,,,,,,
H,Mudabi,779,816,5,N,,,,,,,,,,
H,Rajeshwar,813,882,8,N,,,,,,,,,,
T,Humnabad,834,851,2,N,,,,,,,,,,
H,Humnabad,834,836,0,N,,,,,,,,,,
H,Dubalgundi,822,860,5,N,,,,,,,,,,
H,Hallikheda,827,846,2,N,,,,,,,,,,
T,Chittaguppa,759,842,11,N,,,,,,,,,,
H,Chitguppa,759,853,12,N,,,,,,,,,,
H,Bhimalkhed,838,797,-5,N,,,,,,,,,,
H,Nirna,794,854,8,N,,,,,,,,,,
T,Kamalanagara,902,949,5,N,,,,,,,,,,
H,Kamalnagar,902,806,-11,N,,,,,,,,,,
H,Dabaka C.,877,1009,15,N,,,,,,,,,,
H,Thanakushanur,873,1097,26,E,,,,,,,,,,
T,Hulasuru,739,886,20,E,,,,,,,,,,
H,Hulsoor,739,873,18,N,,,,,,,,,,
D,BELAGAVI,826,983,19,N,,,,,,,,,,
T,Athani,539,515,-4,N,,,,,,,,,,
H,Athani,539,488,-9,N,,,,,,,,,,
H,Anantapur,517,569,10,N,,,,,,,,,,
H,Telsang,507,487,-4,N,,,,,,,,,,
T,Bailhongal,816,1008,23,E,,,,,,,,,,
H,Bailhongal,816,968,19,N,,,,,,,,,,
H,Nesargi,771,1034,34,E,,,,,,,,,,
T,Belagavi,1363,1319,-3,N,,,,,,,,,,
H,Belagavi,1363,1330,-2,N,,,,,,,,,,
H,Hirebagevadi,1041,1180,13,N,,,,,,,,,,
H,Kakti,1131,1193,6,N,,,,,,,,,,
H,Uchagaon,1341,1553,16,N,,,,,,,,,,
T,Chikkodi,666,852,28,E,,,,,,,,,,
H,Chikkodi,666,863,30,E,,,,,,,,,,
H,Nagaramonnali,634,862,36,E,,,,,,,,,,
H,Sadalgi,663,785,18,N,,,,,,,,,,
T,Gokak,524,699,33,E,,,,,,,,,,
H,Gokak,524,766,46,E,,,,,,,,,,
H,Kowjalgi,537,568,6,N,,,,,,,,,,
H,Arbhavi,560,665,19,N,,,,,,,,,,
T,Hukkeri,649,955,47,E,,,,,,,,,,
H,Hukkeri,649,900,39,E,,,,,,,,,,
H,Sankeswar,812,1041,28,E,,,,,,,,,,
H,Yamkanmardi,685,929,36,E,,,,,,,,,,
T,Khanapur,1950,2145,10,N,,,,,,,,,,
H,Khanapur,1950,1638,-16,N,,,,,,,,,,
H,Bidi,1413,1442,2,N,,,,,,,,,,
H,Gunji,2263,2394,6,N,,,,,,,,,,
H,Jamboti,1856,2456,32,E,,,,,,,,,,
T,RAMADURGA,540,682,26,E,,,,,,,,,,
H,Ramdurg,540,626,16,N,,,,,,,,,,
H,Bidki,534,679,27,E,,,,,,,,,,
H,Katkol,536,782,46,E,,,,,,,,,,
H,Mudkavi,543,575,6,N,,,,,,,,,,
T,Raibagh,483,582,21,E,,,,,,,,,,
H,Raibagh,483,596,23,E,,,,,,,,,,
H,Kudchi,529,570,8,N,,,,,,,,,,
T,Soundatti,568,848,49,E,,,,,,,,,,
H,Savadatti,568,837,47,E,,,,,,,,,,
H,Manoli,562,649,15,N,,,,,,,,,,
H,Muragoda,607,946,56,E,,,,,,,,,,
H,Yargatti,533,949,78,LE,,,,,,,,,,
T,Kitthuru,1036,1200,16,N,,,,,,,,,,
H,Kittur,1036,1182,14,N,,,,,,,,,,
T,Nippani,838,1025,22,E,,,,,,,,,,
H,Nippani,838,1117,33,E,,,,,,,,,,
H,Sadalgi,767,877,14,N,,,,,,,,,,
T,Kagavada,541,569,5,N,,,,,,,,,,
H,Kagwad,541,566,5,N,,,,,,,,,,
T,Mudagali,534,570,7,N,,,,,,,,,,
H,Arbhavi,534,584,10,N,,,,,,,,,,
H,Kowjalgi,529,560,6,N,,,,,,,,,,
D,BAGALKOTE,582,550,-6,N,,,,,,,,,,
T,Badami,600,585,-2,N,,,,,,,,,,
H,Badami,600,570,-5,N,,,,,,,,,,
H,Kerur,570,556,-2,N,,,,,,,,,,
H,Kulgeri,583,612,5,N,,,,,,,,,,
T,Bagalkote,613,521,-15,N,,,,,,,,,,
H,Bagalkote,613,597,-3,N,,,,,,,,,,
H,Kaladgi,548,441,-19,N,,,,,,,,,,
H,Rampura,612,495,-19,N,,,,,,,,,,
T,Bilgi,609,501,-18,N,,,,,,,,,,
H,Bilgi,609,500,-18,N,,,,,,,,,,
H,Anagvadi,599,498,-17,N,,,,,,,,,,
T,Hungund,670,687,3,N,,,,,,,,,,
H,Hungund,670,700,5,N,,,,,,,,,,
H,Amingarh,633,677,7,N,,,,,,,,,,
H,Karadi,652,669,3,N,,,,,,,,,,
T,Jamkhandi,548,445,-19,N,,,,,,,,,,
H,Jamakhandi,548,424,-23,D,,,,,,,,,,
H,Savalagi,530,462,-13,N,,,,,,,,,,
H,Terdal,543,441,-19,N,,,,,,,,,,
T,Mudhol,532,512,-4,N,,,,,,,,,,
H,Mudhol,532,490,-8,N,,,,,,,,,,
H,Lokapur,473,535,13,N,,,,,,,,,,
T,Guledagudda,607,653,8,N,,,,,,,,,,
H,Guledagudda,607,647,7,N,,,,,,,,,,
T,Ilkal,651,667,2,N,,,,,,,,,,
H,Ilkal,651,645,-1,N,,,,,,,,,,
H,Amingarh,636,640,1,N,,,,,,,,,,
H,Karadi,654,756,16,N,,,,,,,,,,
T,Rabakavi Banahatti,496,404,-19,N,,,,,,,,,,
H,Terdal,496,405,-18,N,,,,,,,,,,
H,Mudhol,550,408,-26,D,,,,,,,,,,
D,VIJAYAPURA,591,587,-1,N,,,,,,,,,,
T,BAGEVADI,669,574,-14,N,,,,,,,,,,
H,Basavana Bagewadi,669,576,-14,N,,,,,,,,,,
H,Huvin Hippargi,647,603,-7,N,,,,,,,,,,
H,Managuli,608,544,-11,N,,,,,,,,,,
T,Vijayapura,671,584,-13,N,,,,,,,,,,
H,Vijayapura,671,581,-13,N,,,,,,,,,,
H,Nagathan,392,588,50,E,,,,,,,,,,
T,Indi,620,579,-7,N,,,,,,,,,,
H,Indi,620,583,-6,N,,,,,,,,,,
H,Ballolli,563,564,0,N,,,,,,,,,,
T,Muddebihal,652,561,-14,N,,,,,,,,,,
H,Muddebihal,652,566,-13,N,,,,,,,,,,
H,Dhavalagi,638,591,-7,N,,,,,,,,,,
H,Nalatvad,691,528,-24,D,,,,,,,,,,
T,Sindgi,658,635,-3,N,,,,,,,,,,
H,Sindhagi,658,618,-6,N,,,,,,,,,,
H,Almel,646,652,1,N,,,,,,,,,,
T,Babaleshwara,545,468,-14,N,,,,,,,,,,
H,Babaleshwar,545,422,-23,D,,,,,,,,,,
H,Mamdapur,569,572,1,N,,,,,,,,,,
T,Chadachana,552,662,20,E,,,,,,,,,,
H,Chadchan,552,660,19,E,,,,,,,,,,
T,Nidagundi,616,479,-22,D,,,,,,,,,,
H,Nidagundi,616,463,-25,D,,,,,,,,,,
H,Basavana Bagewadi,631,450,-29,D,,,,,,,,,,
H,Huvin Hipprgi,629,532,-15,N,,,,,,,,,,
H,Muddebihal,615,508,-17,N,,,,,,,,,,
H,Dhavalagi,624,432,-31,D,,,,,,,,,,
T,Talikote,586,637,9,N,,,,,,,,,,
H,Talikoti,586,647,10,N,,,,,,,,,,
H,Devarhipargi,597,624,4,N,,,,,,,,,,
H,Dhavalagi,612,670,9,N,,,,,,,,,,
H,Huvinhippargi,603,536,-11,N,,,,,,,,,,
T,Tikota,406,593,46,E,,,,,,,,,,
H,Tikota,406,593,46,E,,,,,,,,,,
T,Kolhara,606,513,-15,N,,,,,,,,,,
H,Kolhar,606,512,-16,N,,,,,,,,,,
T,Devara Hipparagi,630,663,5,N,,,,,,,,,,
H,Devar Hipparagi,630,652,3,N,,,,,,,,,,
H,Huvinhiprgi,625,643,3,N,,,,,,,,,,
D,GADAG,624,678,9,N,,,,,,,,,,
T,Gadag,659,734,11,N,,,,,,,,,,
H,Gadag,659,907,38,E,,,,,,,,,,
H,Betageri,655,605,-8,N,,,,,,,,,,
T,Mundargi,557,583,5,N,,,,,,,,,,
H,Mundargi,557,623,12,N,,,,,,,,,,
H,Dambal,462,560,21,E,,,,,,,,,,
T,Naragund,557,693,24,E,,,,,,,,,,
H,Naragund,557,727,31,E,,,,,,,,,,
H,Konnur,583,642,10,N,,,,,,,,,,
T,Ron,699,629,-10,N,,,,,,,,,,
H,Ron,699,647,-7,N,,,,,,,,,,
H,Hole Alur,623,629,1,N,,,,,,,,,,
H,Nargil,668,658,-1,N,,,,,,,,,,
T,Shirahatti,689,714,4,N,,,,,,,,,,
H,Shirahatti,689,713,4,N,,,,,,,,,,
T,Gajendragad,737,660,-10,N,,,,,,,,,,
H,Rona,737,764,4,N,,,,,,,,,,
H,Nargil,660,627,-5,N,,,,,,,,,,
T,Laxmeshwar,594,823,39,E,,,,,,,,,,
H,Laxmeshwar,594,822,38,E,,,,,,,,,,
D,HAVERI,800,1013,27,E,,,,,,,,,,
T,Byadgi,679,1062,57,E,,,,,,,,,,
H,Byadgi,679,960,41,E,,,,,,,,,,
H,Kaginelli,797,1195,50,E,,,,,,,,,,
T,Hanagal,1044,1160,11,N,,,,,,,,,,
H,Hangal,1044,1278,22,E,,,,,,,,,,
H,Akki Alur,1067,1151,8,N,,,,,,,,,,
H,Bommanhalli,1024,1056,3,N,,,,,,,,,,
T,Haveri,778,893,15,N,,,,,,,,,,
H,Haveri,778,971,25,E,,,,,,,,,,
H,Guttal,619,826,34,E,,,,,,,,,,
H,Karajgi,732,925,26,E,,,,,,,,,,
T,Hirekerur,856,1074,25,E,,,,,,,,,,
H,Hirekerur,856,1168,36,E,,,,,,,,,,
H,Haunsbhavi,918,986,7,N,,,,,,,,,,
T,RANEBENNUR,623,966,55,E,,,,,,,,,,
H,Ranebennur,623,1010,62,LE,,,,,,,,,,
H,Kuppelur,708,1047,48,E,,,,,,,,,,
H,Medleri,651,864,33,E,,,,,,,,,,
T,Savanur,699,952,36,E,,,,,,,,,,
H,Savanur,699,876,25,E,,,,,,,,,,
H,Hatti Mattur,717,1020,42,E,,,,,,,,,,
T,Shiggaon,814,975,20,E,,,,,,,,,,
H,Shiggaon,814,839,3,N,,,,,,,,,,
H,Bankapur,808,1015,26,E,,,,,,,,,,
H,Dhundsi,955,1045,9,N,,,,,,,,,,
T,Ratteehalli,790,1085,37,E,,,,,,,,,,
H,Rattihalli,790,1091,38,E,,,,,,,,,,
H,Hirekerur,830,1074,29,E,,,,,,,,,,
D,DHARWAD,787,965,23,E,,,,,,,,,,
T,Dharwad,777,1060,36,E,,,,,,,,,,
H,Dharwad,777,1156,49,E,,,,,,,,,,
H,Aminbhavi,792,863,9,N,,,,,,,,,,
H,Garag,908,1119,23,E,,,,,,,,,,
T,Hubballi,772,935,21,E,,,,,,,,,,
H,Chabbi,772,1136,47,E,,,,,,,,,,
H,Shirguppi,699,809,16,N,,,,,,,,,,
T,Kalghatgi,979,1253,28,E,,,,,,,,,,
H,Kalghatgi,979,1329,36,E,,,,,,,,,,
H,Dummavada,852,1205,42,E,,,,,,,,,,
H,Tabkad Honnihalli,965,1209,25,E,,,,,,,,,,
T,Kundgol,661,841,27,E,,,,,,,,,,
H,Kundgol,661,833,26,E,,,,,,,,,,
H,Saunshi,696,842,21,E,,,,,,,,,,
T,Navalgund,631,711,13,N,,,,,,,,,,
H,Moraba,631,707,12,N,,,,,,,,,,
T,Hubballi Nagara,746,1009,35,E,,,,,,,,,,
H,Hubballi Urban,746,1007,35,E,,,,,,,,,,
T,Alnavara,1267,1416,12,N,,,,,,,,,,
H,Alnavar,1267,1411,11,N,,,,,,,,,,
T,Annigeri,651,797,23,E,,,,,,,,,,
H,Annigeri,651,801,23,E,,,,,,,,,,
D,SHIVAMOGGA,2325,2444,5,N,,,,,,,,,,
T,Bhadravathi,866,1292,49,E,,,,,,,,,,
H,Bhadravathi_1,866,1420,64,LE,,,,,,,,,,
H,Bhadravathi_2,936,1268,35,E,,,,,,,,,,
H,Hole Honnuru_1,883,1090,24,E,,,,,,,,,,
H,Hole Honnuru_3,846,1194,41,E,,,,,,,,,,
H,Hole Honnuru_2,800,1266,58,E,,,,,,,,,,
H,Kudligere,882,1353,53,E,,,,,,,,,,
T,HOSANAGARA,3071,3285,7,N,,,,,,,,,,
H,Hosanagar,3071,3270,6,N,,,,,,,,,,
H,Huncha,2490,2433,-2,N,,,,,,,,,,
H,Kerehalli,1764,1807,2,N,,,,,,,,,,
H,Nagar,5205,4654,-11,N,,,,,,,,,,
T,SAGARA,2495,3240,30,E,,,,,,,,,,
H,Sagar,2495,2139,-14,N,,,,,,,,,,
H,Anandapuram,1702,2038,20,E,,,,,,,,,,
H,Baragadde,4040,3789,-6,N,,,,,,,,,,
H,Anahalli,2692,2442,-9,N,,,,,,,,,,
H,Karauru,4154,4836,16,N,,,,,,,,,,
H,Talguppa,2710,2768,2,N,,,,,,,,,,
T,SHIKARIPURA,975,1399,43,E,,,,,,,,,,
H,Shikaripur,975,1472,51,E,,,,,,,,,,
H,Anjanapura,1171,1470,26,E,,,,,,,,,,
H,Husuru,861,1334,55,E,,,,,,,,,,
H,Udagani,1037,1359,31,E,,,,,,,,,,
H,Talagunda,1050,1385,32,E,,,,,,,,,,
T,Shivamogga,842,1498,78,LE,,,,,,,,,,
H,Shivamogga_2,842,1346,60,E,,,,,,,,,,
H,Shivamogga_1,1150,1409,22,E,,,,,,,,,,
H,Haranahalli,1037,1389,34,E,,,,,,,,,,
H,Holalur_1,843,1316,56,E,,,,,,,,,,
H,Holalur_2,913,1160,27,E,,,,,,,,,,
H,Kumsi,984,1761,79,LE,,,,,,,,,,
H,Nidige_1,951,1498,58,E,,,,,,,,,,
H,Nidige_2,1193,1478,24,E,,,,,,,,,,
H,Ayanuru,1043,1717,65,LE,,,,,,,,,,
T,SORABA,1541,1811,18,N,,,,,,,,,,
H,Sorab,1541,1815,18,N,,,,,,,,,,
H,Anavatti,1261,1419,13,N,,,,,,,,,,
H,Chandragutti,2332,1974,-15,N,,,,,,,,,,
H,Jade,1478,1622,10,N,,,,,,,,,,
H,Kuppagadde,1417,1906,34,E,,,,,,,,,,
H,Ulvi,1895,1962,4,N,,,,,,,,,,
T,Tirthahalli,2867,3083,8,N,,,,,,,,,,
H,Thirthahalli,2867,3040,6,N,,,,,,,,,,
H,Agrahara,2713,3039,12,N,,,,,,,,,,
H,Agumbe,7565,4152,-45,D,,,,,,,,,,
H,Mandagadde,1690,2435,44,E,,,,,,,,,,
H,Malur,2579,2650,3,N,,,,,,,,,,
D,HASSAN,1142,1363,19,N,,,,,,,,,,
T,Alur,1149,1259,10,N,,,,,,,,,,
H,Alur,1149,1191,4,N,,,,,,,,,,
H,Kenchamman Hoskota,1814,1528,-16,N,,,,,,,,,,
H,Kundur,1136,983,-13,N,,,,,,,,,,
H,Palya,1581,1232,-22,D,,,,,,,,,,
T,ARKALGUD,885,1100,24,E,,,,,,,,,,
H,Arkalgud,885,957,8,N,,,,,,,,,,
H,Doddamagge,899,1001,11,N,,,,,,,,,,
H,Konanuru,797,1140,43,E,,,,,,,,,,
H,Mallipatna,1246,1354,9,N,,,,,,,,,,
H,Ramanathapura,830,1077,30,E,,,,,,,,,,
T,ARASIKERE,696,1036,49,E,,,,,,,,,,
H,Arasikere,696,1059,52,E,,,,,,,,,,
H,Banavara,564,1078,91,LE,,,,,,,,,,
H,Gandasi,661,1151,74,LE,,,,,,,,,,
H,Javagal,934,951,2,N,,,,,,,,,,
H,Kanakatte,595,980,65,LE,,,,,,,,,,
T,Belur,1021,1163,14,N,,,,,,,,,,
H,Belur,1021,1170,15,N,,,,,,,,,,
H,Arehalli,1790,1512,-16,N,,,,,,,,,,
H,Bikkodu,1213,1269,5,N,,,,,,,,,,
H,Halebeedu,1305,978,-25,D,,,,,,,,,,
H,Madihalli,2378,917,-61,LD,,,,,,,,,,
T,Channarayapatna,690,1130,64,LE,,,,,,,,,,
H,Channarayapatna,690,965,40,E,,,,,,,,,,
H,Baguru,779,1267,63,LE,,,,,,,,,,
H,Dandiganahalli,692,1018,47,E,,,,,,,,,,
H,Hirisave,768,1205,57,E,,,,,,,,,,
H,Nuggehalli,669,1227,83,LE,,,,,,,,,,
H,Shravan Belgola,733,1103,50,E,,,,,,,,,,
T,Hassan,846,1028,22,E,,,,,,,,,,
H,Hassan,846,1045,24,E,,,,,,,,,,
H,Dudda,652,999,53,E,,,,,,,,,,
H,Kattya,693,1002,45,E,,,,,,,,,,
H,Salagame,816,1069,31,E,,,,,,,,,,
H,Shantigrama,661,1014,53,E,,,,,,,,,,
T,HOLENARASIPURA,768,948,23,E,,,,,,,,,,
H,Holenarasipur,768,933,21,E,,,,,,,,,,
H,Halekote,778,1068,37,E,,,,,,,,,,
H,Halli Mysore,767,878,15,N,,,,,,,,,,
T,SAKALESHPURA,2247,2947,31,E,,,,,,,,,,
H,Sakaleshpur,2247,2331,4,N,,,,,,,,,,
H,Balegodu,1790,1600,-11,N,,,,,,,,,,
H,Hanbalu,2377,3479,46,E,,,,,,,,,,
H,Hettur,2218,3316,49,E,,,,,,,,,,
H,Yaslur,1783,2908,63,LE,,,,,,,,,,
D,CHIKKAMAGALURU,1833,2070,13,N,,,,,,,,,,
T,CHIKKAMAGALURU,836,1755,110,LE,,,,,,,,,,
H,Chikkamagaluru,836,1548,85,LE,,,,,,,,,,
H,Amble,938,1234,32,E,,,,,,,,,,
H,Aldur,1643,2038,24,E,,,,,,,,,,
H,Sangmeswrpet,2339,2230,-5,N,,,,,,,,,,
H,Lakya,1283,1275,-1,N,,,,,,,,,,
H,Avathi,1340,2017,50,E,,,,,,,,,,
H,Jagar,909,2003,120,LE,,,,,,,,,,
H,Vasthare,1048,1641,57,E,,,,,,,,,,
T,Kadur,639,1075,68,LE,,,,,,,,,,
H,Kadur,639,1163,82,LE,,,,,,,,,,
H,Birur,677,1232,82,LE,,,,,,,,,,
H,Hirenalluru,643,998,55,E,,,,,,,,,,
H,Sakkarepatna,813,1050,29,E,,,,,,,,,,
H,Shingatagere,630,1001,59,E,,,,,,,,,,
H,Yagati,632,968,53,E,,,,,,,,,,
H,Panchanahalli,594,1058,78,LE,,,,,,,,,,
T,Koppa,2907,3013,4,N,,,,,,,,,,
H,Koppa,2907,2782,-4,N,,,,,,,,,,
H,Hariharpur,3046,3185,5,N,,,,,,,,,,
H,Meguda,3122,3058,-2,N,,,,,,,,,,
T,Mudigere,2315,3386,46,E,,,,,,,,,,
H,Mudigere,2315,2308,0,N,,,,,,,,,,
H,Bankal,4139,3326,-20,D,,,,,,,,,,
H,Gonibidu,2268,3492,54,E,,,,,,,,,,
H,Kalasa,3491,3691,6,N,,,,,,,,,,
H,Baluru,3866,3344,-13,N,,,,,,,,,,
T,NARASIMHARAJAPURA,1609,2183,36,E,,,,,,,,,,
H,Narasimharajapur,1609,1906,18,N,,,,,,,,,,
H,Balehonnur,2590,2509,-3,N,,,,,,,,,,
T,Sringeri,3887,3940,1,N,,,,,,,,,,
H,Sringeri,3887,3308,-15,N,,,,,,,,,,
H,Kigga,4377,4107,-6,N,,,,,,,,,,
T,Tarikere,914,1280,40,E,,,,,,,,,,
H,Tarikere,914,1167,28,E,,,,,,,,,,
H,Amrutapur,881,1091,24,E,,,,,,,,,,
H,Lakavalli,1256,1461,16,N,,,,,,,,,,
H,Lingadahalli,825,1338,62,LE,,,,,,,,,,
T,Ajjampura,669,1060,59,E,,,,,,,,,,
H,Ajjampura,669,1054,58,E,,,,,,,,,,
H,Chowlahiriyur,607,1020,68,LE,,,,,,,,,,
H,Shivani,575,1114,94,LE,,,,,,,,,,
H,Amrutpura,698,910,30,E,,,,,,,,,,
H,Hirenalluru,645,1070,66,LE,,,,,,,,,,
D,KODAGU,2729,2656,-3,N,,,,,,,,,,
T,Madikeri,3265,3522,8,N,,,,,,,,,,
H,Madikeri,3265,3206,-2,N,,,,,,,,,,
H,Bhagamandala,5784,4224,-27,D,,,,,,,,,,
H,Napoklu,2833,2842,0,N,,,,,,,,,,
H,Sampaje,4418,3556,-19,N,,,,,,,,,,
T,Somwarpet,2098,2150,2,N,,,,,,,,,,
H,Somwarpet,2098,1936,-8,N,,,,,,,,,,
H,Kodlipet,1613,1767,10,N,,,,,,,,,,
H,Kushalnagar,978,1492,52,E,,,,,,,,,,
H,Sanivarsante,1863,1721,-8,N,,,,,,,,,,
H,Santhahalli,2294,3357,46,E,,,,,,,,,,
H,Suntikoppa,1589,2265,43,E,,,,,,,,,,
T,Virajpet,2468,2210,-10,N,,,,,,,,,,
H,Virajpet,2468,2836,15,N,,,,,,,,,,
H,Ammati,1992,1851,-7,N,,,,,,,,,,
H,Blale,1798,1710,-5,N,,,,,,,,,,
H,Hudakere,2403,2617,9,N,,,,,,,,,,
H,Ponnampet,2267,2019,-11,N,,,,,,,,,,
H,Srimangala,2753,1925,-30,D,,,,,,,,,,
D,DAKSHINA KANNADA,4006,3963,-1,N,,,,,,,,,,
T,Beltangadi,4426,4427,0,N,,,,,,,,,,
H,Belthangady,4426,4383,-1,N,,,,,,,,,,
H,Kokkada,4261,4499,6,N,,,,,,,,,,
H,Venur,4117,4262,4,N,,,,,,,,,,
T,Bantwal,3856,3369,-13,N,,,,,,,,,,
H,Bantwal,3856,3559,-8,N,,,,,,,,,,
H,Pane Mangalore,3885,3361,-13,N,,,,,,,,,,
H,Vittal,3984,3153,-21,D,,,,,,,,,,
T,Mangaluru,3609,3486,-3,N,,,,,,,,,,
H,Mangaluru_A,3609,3382,-6,N,,,,,,,,,,
H,Mangaluru_B,3631,3366,-7,N,,,,,,,,,,
H,Gurpur,3801,3458,-9,N,,,,,,,,,,
H,Mulki,3788,3602,-5,N,,,,,,,,,,
H,Suratkal,3834,3422,-11,N,,,,,,,,,,
T,Puttur,4058,3592,-12,N,,,,,,,,,,
H,Puttur,4058,3609,-11,N,,,,,,,,,,
H,Uppinangadi,3939,3472,-12,N,,,,,,,,,,
T,Sulya,3592,3885,8,N,,,,,,,,,,
H,Sullia,3592,3741,4,N,,,,,,,,,,
H,Panaje,4015,4136,3,N,,,,,,,,,,
T,Mudabidri,4010,3873,-3,N,,,,,,,,,,
H,Mudbidri,4010,3824,-5,N,,,,,,,,,,
T,Kadaba,4135,4329,5,N,,,,,,,,,,
H,Kadaba,4135,4214,2,N,,,,,,,,,,
H,Panaje,4215,4027,-4,N,,,,,,,,,,
H,Uppinangadi,3495,4681,34,E,,,,,,,,,,
D,UDUPI,4535,4797,6,N,,,,,,,,,,
T,Karkala,4777,4736,-1,N,,,,,,,,,,
