T,Sirivara,589,573,-3,N,,,,,,,,,,
D,KALABURAGI,770,943,22,E,,,,,,,,,,
T,Afzalpur,692,825,19,N,,,,,,,,,,
T,Aland,763,994,30,E,,,,,,,,,,
T,Chincholi,913,920,1,N,,,,,,,,,,
T,CHITTAPUR,771,1066,38,E,,,,,,,,,,
T,Kalaburagi,794,1036,31,E,,,,,,,,,,
T,Jevargi,805,819,2,N,,,,,,,,,,
T,Sedam,791,913,15,N,,,,,,,,,,
T,Kalagi,766,1263,65,LE,,,,,,,,,,
T,Kamalapura,762,959,26,E,,,,,,,,,,
T,Yadrami,687,630,-8,N,,,,,,,,,,
T,Shahbadha,758,1036,37,E,,,,,,,,,,
D,BIDAR,838,907,8,N,,,,,,,,,,
T,Aurad,854,984,15,N,,,,,,,,,,
T,Bidar,939,917,-2,N,,,,,,,,,,
T,Bhalki,874,942,8,N,,,,,,,,,,
T,Basavakalyan,790,833,5,N,,,,,,,,,,
T,Humnabad,834,851,2,N,,,,,,,,,,
T,Chittaguppa,759,842,11,N,,,,,,,,,,
T,Kamalanagara,902,949,5,N,,,,,,,,,,
T,Hulasuru,739,886,20,E,,,,,,,,,,
D,BELAGAVI,826,983,19,N,,,,,,,,,,
T,Athani,539,515,-4,N,,,,,,,,,,
T,Bailhongal,816,1008,23,E,,,,,,,,,,
T,Belagavi,1363,1319,-3,N,,,,,,,,,,
T,Chikkodi,666,852,28,E,,,,,,,,,,
T,Gokak,524,699,33,E,,,,,,,,,,
T,Hukkeri,649,955,47,E,,,,,,,,,,
T,Khanapur,1950,2145,10,N,,,,,,,,,,
T,RAMADURGA,540,682,26,E,,,,,,,,,,
T,Raibagh,483,582,21,E,,,,,,,,,,
T,Soundatti,568,848,49,E,,,,,,,,,,
T,Kitthuru,1036,1200,16,N,,,,,,,,,,
T,Nippani,838,1025,22,E,,,,,,,,,,
T,Kagavada,541,569,5,N,,,,,,,,,,
T,Mudagali,534,570,7,N,,,,,,,,,,
D,BAGALKOTE,582,550,-6,N,,,,,,,,,,
T,Badami,600,585,-2,N,,,,,,,,,,
T,Bagalkote,613,521,-15,N,,,,,,,,,,
T,Bilgi,609,501,-18,N,,,,,,,,,,
T,Hungund,670,687,3,N,,,,,,,,,,
T,Jamkhandi,548,445,-19,N,,,,,,,,,,
T,Mudhol,532,512,-4,N,,,,,,,,,,
T,Guledagudda,607,653,8,N,,,,,,,,,,
T,Ilkal,651,667,2,N,,,,,,,,,,
T,Rabakavi Banahatti,496,404,-19,N,,,,,,,,,,
D,VIJAYAPURA,591,587,-1,N,,,,,,,,,,
T,BAGEVADI,669,574,-14,N,,,,,,,,,,
T,Vijayapura,671,584,-13,N,,,,,,,,,,
T,Indi,620,579,-7,N,,,,,,,,,,
T,Muddebihal,652,561,-14,N,,,,,,,,,,
T,Sindgi,658,635,-3,N,,,,,,,,,,
T,Babaleshwara,545,468,-14,N,,,,,,,,,,
T,Chadachana,552,662,20,E,,,,,,,,,,
T,Nidagundi,616,479,-22,D,,,,,,,,,,
T,Talikote,586,637,9,N,,,,,,,,,,
T,Tikota,406,593,46,E,,,,,,,,,,
T,Kolhara,606,513,-15,N,,,,,,,,,,
T,Devara Hipparagi,630,663,5,N,,,,,,,,,,
D,GADAG,624,678,9,N,,,,,,,,,,
T,Gadag,659,734,11,N,,,,,,,,,,
T,Mundargi,557,583,5,N,,,,,,,,,,
T,Naragund,557,693,24,E,,,,,,,,,,
T,Ron,699,629,-10,N,,,,,,,,,,
T,Shirahatti,689,714,4,N,,,,,,,,,,
T,Gajendragad,737,660,-10,N,,,,,,,,,,
T,Laxmeshwar,594,823,39,E,,,,,,,,,,
D,HAVERI,800,1013,27,E,,,,,,,,,,
T,Byadgi,679,1062,57,E,,,,,,,,,,
T,Hanagal,1044,1160,11,N,,,,,,,,,,
T,Haveri,778,893,15,N,,,,,,,,,,
T,Hirekerur,856,1074,25,E,,,,,,,,,,
T,RANEBENNUR,623,966,55,E,,,,,,,,,,
T,Savanur,699,952,36,E,,,,,,,,,,
T,Shiggaon,814,975,20,E,,,,,,,,,,
T,Ratteehalli,790,1085,37,E,,,,,,,,,,
D,DHARWAD,787,965,23,E,,,,,,,,,,
T,Dharwad,777,1060,36,E,,,,,,,,,,
T,Hubballi,772,935,21,E,,,,,,,,,,
T,Kalghatgi,979,1253,28,E,,,,,,,,,,
T,Kundgol,661,841,27,E,,,,,,,,,,
T,Navalgund,631,711,13,N,,,,,,,,,,
T,Hubballi Nagara,746,1009,35,E,,,,,,,,,,
T,Alnavara,1267,1416,12,N,,,,,,,,,,
T,Annigeri,651,797,23,E,,,,,,,,,,
D,SHIVAMOGGA,2325,2444,5,N,,,,,,,,,,
T,Bhadravathi,866,1292,49,E,,,,,,,,,,
T,HOSANAGARA,3071,3285,7,N,,,,,,,,,,
T,SAGARA,2495,3240,30,E,,,,,,,,,,
T,SHIKARIPURA,975,1399,43,E,,,,,,,,,,
T,Shivamogga,842,1498,78,LE,,,,,,,,,,
T,SORABA,1541,1811,18,N,,,,,,,,,,
T,Tirthahalli,2867,3083,8,N,,,,,,,,,,
D,HASSAN,1142,1363,19,N,,,,,,,,,,
T,Alur,1149,1259,10,N,,,,,,,,,,
T,ARKALGUD,885,1100,24,E,,,,,,,,,,
T,ARASIKERE,696,1036,49,E,,,,,,,,,,
T,Belur,1021,1163,14,N,,,,,,,,,,
T,Channarayapatna,690,1130,64,LE,,,,,,,,,,
T,Hassan,846,1028,22,E,,,,,,,,,,
T,HOLENARASIPURA,768,948,23,E,,,,,,,,,,
T,SAKALESHPURA,2247,2947,31,E,,,,,,,,,,
D,CHIKKAMAGALURU,1833,2070,13,N,,,,,,,,,,
T,CHIKKAMAGALURU,836,1755,110,LE,,,,,,,,,,
T,Kadur,639,1075,68,LE,,,,,,,,,,
T,Koppa,2907,3013,4,N,,,,,,,,,,
T,Mudigere,2315,3386,46,E,,,,,,,,,,
T,NARASIMHARAJAPURA,1609,2183,36,E,,,,,,,,,,
T,Sringeri,3887,3940,1,N,,,,,,,,,,
T,Tarikere,914,1280,40,E,,,,,,,,,,
T,Ajjampura,669,1060,59,E,,,,,,,,,,
D,KODAGU,2729,2656,-3,N,,,,,,,,,,
T,Madikeri,3265,3522,8,N,,,,,,,,,,
T,Somwarpet,2098,2150,2,N,,,,,,,,,,
T,Virajpet,2468,2210,-10,N,,,,,,,,,,
