District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),% DEP,Class,,
T,RANEBENNUR,623,1072,72,LE,,
H,Ranebennur,623,1068,72,LE,,
H,Kuppelur,708,1173,66,LE,,
H,Medleri,651,969,49,E,,
T,Savanur,699,1044,49,E,,
H,Savanur,699,986,41,E,,
H,Hatti Mattur,717,983,37,E,,
T,Shiggaon,814,1004,23,E,,
H,Shiggaon,814,982,21,E,,
H,Bankapur,808,984,22,E,,
H,Dhundsi,955,1053,10,N,,
T,Ratteehalli,790,921,17,N,,
H,Rattihalli,790,926,17,N,,
H,Hirekerur,830,848,2,N,,
D,DHARWAD,787,1051,34,E,,
T,Dharwad,777,1016,31,E,,
H,Dharwad,777,1050,35,E,,
H,Aminbhavi,792,1035,31,E,,
H,Garag,908,1040,14,N,,
T,Hubballi,772,1117,45,E,,
H,Chabbi,772,1065,38,E,,
H,Shirguppi,699,1209,73,LE,,
T,Kalghatgi,979,1155,18,N,,
H,Kalghatgi,979,1145,17,N,,
H,Dummavada,852,1155,36,E,,
H,Tabkad Honnihalli,965,1179,22,E,,
T,Kundgol,661,1093,65,LE,,
H,Kundgol,661,980,48,E,,
H,Saunshi,696,1226,76,LE,,
T,Navalgund,631,812,29,E,,
H,Moraba,631,842,34,E,,
T,Hubballi Nagara,746,911,22,E,,
H,Hubballi Urban,746,917,23,E,,
T,Alnavara,1267,1321,4,N,,
H,Alnavar,1267,1307,3,N,,
T,Annigeri,651,1016,56,E,,
H,Annigeri,651,1037,59,E,,
D,SHIVAMOGGA,2325,2439,5,N,,
T,Bhadravathi,866,1345,55,E,,
H,Bhadravathi_1,866,1517,75,LE,,
H,Bhadravathi_2,936,1507,61,LE,,
H,Hole Honnuru_1,883,1333,51,E,,
H,Hole Honnuru_3,846,1243,47,E,,
H,Hole Honnuru_2,800,1392,74,LE,,
H,Kudligere,882,1330,51,E,,
T,HOSANAGARA,3071,3234,5,N,,
H,Hosanagar,3071,3223,5,N,,
H,Huncha,2490,2829,14,N,,
H,Kerehalli,1764,2084,18,N,,
H,Nagar,5205,4066,-22,D,,
T,SAGARA,2495,3196,28,E,,
H,Sagar,2495,2150,-14,N,,
H,Anandapuram,1702,2103,24,E,,
H,Baragadde,4040,3865,-4,N,,
H,Anahalli,2692,3328,24,E,,
H,Karauru,4154,4101,-1,N,,
H,Talguppa,2710,2544,-6,N,,
T,SHIKARIPURA,975,1356,39,E,,
H,Shikaripur,975,1544,58,E,,
H,Anjanapura,1171,1326,13,N,,
H,Husuru,861,1231,43,E,,
H,Udagani,1037,1368,32,E,,
H,Talagunda,1050,1420,35,E,,
T,Shivamogga,842,1507,79,LE,,
H,Shivamogga_2,842,1411,68,LE,,
H,Shivamogga_1,1150,1626,41,E,,
H,Haranahalli,1037,1399,35,E,,
H,Holalur_1,843,1310,56,E,,
H,Holalur_2,913,1362,49,E,,
H,Kumsi,984,1618,64,LE,,
H,Nidige_1,951,1579,66,LE,,
H,Nidige_2,1193,1518,27,E,,
H,Ayanuru,1043,1792,72,LE,,
T,SORABA,1541,1909,24,E,,
H,Sorab,1541,1725,12,N,,
H,Anavatti,1261,1527,21,E,,
H,Chandragutti,2332,2315,-1,N,,
H,Jade,1478,1748,18,N,,
H,Kuppagadde,1417,1640,16,N,,
H,Ulvi,1895,2032,7,N,,
T,Tirthahalli,2867,3153,10,N,,
H,Thirthahalli,2867,3031,6,N,,
H,Agrahara,2713,2832,4,N,,
H,Agumbe,7565,4670,-38,D,,
H,Mandagadde,1690,2234,32,E,,
H,Malur,2579,2869,11,N,,
D,HASSAN,1142,1701,49,E,,
T,Alur,1149,1483,29,E,,
H,Alur,1149,1307,14,N,,
H,Kenchamman Hoskota,1814,1914,6,N,,
H,Kundur,1136,1266,11,N,,
H,Palya,1581,1513,-4,N,,
T,ARKALGUD,885,1366,54,E,,
H,Arkalgud,885,1373,55,E,,
H,Doddamagge,899,1468,63,LE,,
H,Konanuru,797,1523,91,LE,,
H,Mallipatna,1246,1515,22,E,,
H,Ramanathapura,830,1470,77,LE,,
T,ARASIKERE,696,982,41,E,,
H,Arasikere,696,986,42,E,,
H,Banavara,564,1212,115,LE,,
H,Gandasi,661,1107,68,LE,,
H,Javagal,934,1042,12,N,,
H,Kanakatte,595,1059,78,LE,,
T,Belur,1021,1532,50,E,,
H,Belur,1021,1585,55,E,,
H,Arehalli,1790,2290,28,E,,
H,Bikkodu,1213,1637,35,E,,
H,Halebeedu,1305,1208,-7,N,,
H,Madihalli,2378,1185,-50,D,,
T,Channarayapatna,690,1342,95,LE,,
H,Channarayapatna,690,1595,131,LE,,
H,Baguru,779,1318,69,LE,,
H,Dandiganahalli,692,1259,82,LE,,
H,Hirisave,768,1573,105,LE,,
H,Nuggehalli,669,1598,139,LE,,
H,Shravan Belgola,733,1592,117,LE,,
T,Hassan,846,1289,52,E,,
H,Hassan,846,1316,56,E,,
H,Dudda,652,1245,91,LE,,
H,Kattya,693,1424,106,LE,,
H,Salagame,816,1309,60,LE,,
H,Shantigrama,661,1423,115,LE,,
T,HOLENARASIPURA,768,1398,82,LE,,
H,Holenarasipur,768,1524,98,LE,,
H,Halekote,778,1374,77,LE,,
H,Halli Mysore,767,1455,90,LE,,
T,SAKALESHPURA,2247,3522,57,E,,
H,Sakaleshpur,2247,2970,32,E,,
H,Balegodu,1790,2260,26,E,,
H,Hanbalu,2377,3728,57,E,,
H,Hettur,2218,4305,94,LE,,
H,Yaslur,1783,3254,82,LE,,
D,CHIKKAMAGALURU,1833,2278,24,E,,
T,CHIKKAMAGALURU,836,2069,148,LE,,
H,Chikkamagaluru,836,1590,90,LE,,
H,Amble,938,1493,59,E,,
H,Aldur,1643,2548,55,E,,
H,Sangmeswrpet,2339,2580,10,N,,
H,Lakya,1283,1315,2,N,,
H,Avathi,1340,2699,101,LE,,
H,Jagar,909,2307,154,LE,,
H,Vasthare,1048,2388,128,LE,,
T,Kadur,639,1056,65,LE,,
H,Kadur,639,1004,57,E,,
H,Birur,677,1032,53,E,,
H,Hirenalluru,643,1079,68,LE,,
H,Sakkarepatna,813,1126,38,E,,
H,Shingatagere,630,1038,65,LE,,
H,Yagati,632,1065,68,LE,,
H,Panchanahalli,594,1128,90,LE,,
T,Koppa,2907,3510,21,E,,
H,Koppa,2907,3378,16,N,,
H,Hariharpur,3046,3604,18,N,,
H,Meguda,3122,3450,11,N,,
T,Mudigere,2315,3616,56,E,,
H,Mudigere,2315,2850,23,E,,
H,Bankal,4139,3485,-16,N,,
H,Gonibidu,2268,3918,73,LE,,
H,Kalasa,3491,3903,12,N,,
H,Baluru,3866,2999,-22,D,,
T,NARASIMHARAJAPURA,1609,2376,48,E,,
H,Narasimharajapur,1609,2046,27,E,,
H,Balehonnur,2590,2592,0,N,,
T,Sringeri,3887,4735,22,E,,
H,Sringeri,3887,3892,0,N,,
H,Kigga,4377,4886,12,N,,
T,Tarikere,914,1350,48,E,,
H,Tarikere,914,1289,41,E,,
H,Amrutapur,881,1148,30,E,,
H,Lakavalli,1256,1640,31,E,,
H,Lingadahalli,825,1242,50,E,,
T,Ajjampura,669,1205,80,LE,,
H,Ajjampura,669,1163,74,LE,,
H,Chowlahiriyur,607,1199,97,LE,,
H,Shivani,575,1143,99,LE,,
H,Amrutpura,698,1315,88,LE,,
H,Hirenalluru,645,1054,63,LE,,
D,KODAGU,2729,3036,11,N,,
T,Madikeri,3265,4214,29,E,,
H,Madikeri,3265,3957,21,E,,
H,Bhagamandala,5784,5163,-11,N,,
H,Napoklu,2833,3260,15,N,,
H,Sampaje,4418,4782,8,N,,
T,Somwarpet,2098,2397,14,N,,
H,Somwarpet,2098,2250,7,N,,
H,Kodlipet,1613,1986,23,E,,
H,Kushalnagar,978,1690,73,LE,,
H,Sanivarsante,1863,1941,4,N,,
H,Santhahalli,2294,3672,60,LE,,
H,Suntikoppa,1589,2561,61,LE,,
T,Virajpet,2468,2312,-6,N,,
H,Virajpet,2468,2587,5,N,,
H,Ammati,1992,2015,1,N,,
H,Blale,1798,1798,0,N,,
H,Hudakere,2403,3018,26,E,,
H,Ponnampet,2267,2019,-11,N,,
H,Srimangala,2753,2466,-10,N,,
D,DAKSHINA KANNADA,4006,4383,9,N,,
T,Beltangadi,4426,4643,5,N,,
H,Belthangady,4426,4541,3,N,,
H,Kokkada,4261,4670,10,N,,
H,Venur,4117,4863,18,N,,
T,Bantwal,3856,3904,1,N,,
H,Bantwal,3856,4312,12,N,,
H,Pane Mangalore,3885,3832,-1,N,,
H,Vittal,3984,3715,-7,N,,
T,Mangaluru,3609,3354,-7,N,,
H,Mangaluru_A,3609,2564,-29,D,,
H,Mangaluru_B,3631,3419,-6,N,,
H,Gurpur,3801,3639,-4,N,,
H,Mulki,3788,3439,-9,N,,
H,Suratkal,3834,3514,-8,N,,
T,Puttur,4058,3924,-3,N,,
H,Puttur,4058,3845,-5,N,,
H,Uppinangadi,3939,4012,2,N,,
T,Sulya,3592,4859,35,E,,
H,Sullia,3592,4690,31,E,,
H,Panaje,4015,5141,28,E,,
T,Mudabidri,4010,4608,15,N,,
H,Mudbidri,4010,4600,15,N,,
T,Kadaba,4135,4747,15,N,,
H,Kadaba,4135,4520,9,N,,
H,Panaje,4215,5014,19,N,,
H,Uppinangadi,3495,5040,44,E,,
D,UDUPI,4535,4672,3,N,,
T,Karkala,4777,4540,-5,N,,
H,Karkala,4777,4410,-8,N,,
H,Ajekar,4755,4923,4,N,,
T,Kundapur,3786,4526,20,E,,
H,Kundapur,3786,4423,17,N,,
H,Vandse,4260,4548,7,N,,
T,Udupi,3862,4095,6,N,,
H,Udupi,3862,3940,2,N,,
H,Brahmavara,4333,4193,-3,N,,
T,Bynduru,4428,5316,20,E,,
H,Bainduru,4428,5284,19,N,,
T,Bramhavara,4043,4155,3,N,,
H,Brahmavara,4043,4109,2,N,,
H,Kota,3525,4031,14,N,,
T,Kapu,3757,3845,2,N,,
H,Kapu,3757,3823,2,N,,
T,Hebri,5802,5765,-1,N,,
H,Ajekar,5802,5730,-1,N,,
H,Kundapur,5073,5806,14,N,,
D,UTTARA KANNADA,2936,2981,2,N,,
T,Ankola,3532,3542,0,N,,
H,Ankola,3532,3574,1,N,,
H,Belikere,3517,3406,-3,N,,
H,Basagod,3438,3292,-4,N,,
H,Blale,3364,3428,2,N,,
T,Bhatkal,4322,4608,7,N,,
H,Susgadi,4322,4736,10,N,,
H,Mavalli,4071,4460,10,N,,
T,Haliyal,1339,1593,19,N,,
H,Haliyal,1339,1533,14,N,,
H,Murkvad,1061,1399,32,E,,
H,Sambrani,1260,1603,27,E,,
H,Dandeli,1371,1672,22,E,,
T,Honnavar,3728,4096,10,N,,
H,Honnavar,3728,3957,6,N,,
H,Manki,3668,4072,11,N,,
H,Mavinakurvei,3869,4185,8,N,,
T,Karwar,3234,3416,6,N,,
H,Baad,3234,3415,6,N,,
H,Ghadasaya,3611,3182,-12,N,,
H,Kinnar,3448,3472,1,N,,
H,Savantvada,3329,3292,-1,N,,
T,Kumta,3523,3783,7,N,,
H,Kumta,3523,3611,3,N,,
H,Gokarna,3243,3315,2,N,,
H,Kujahalli,3978,3823,-4,N,,
H,Mirjan,3526,3746,6,N,,
T,Mundgod,1438,1651,15,N,,
H,Mundgod,1438,1596,11,N,,
H,Pala,1243,1788,44,E,,
T,SIDDAPUR,3016,3714,23,E,,
H,Umbalamani,4456,3444,-23,D,,
H,Siddapura,3016,3130,4,N,,
H,Kodkani,3371,4249,26,E,,
T,SIRSI,2360,3230,37,E,,
H,Sirsi,2360,2753,17,N,,
H,Banavasi,1511,2241,48,E,,
H,Hulekal,2174,3143,45,E,,
H,Sampakanda,4141,4375,6,N,,
T,SUPA,2578,2723,6,N,,
H,Supa,2578,2229,-14,N,,
H,Kasalrock,4658,3972,-15,N,,
H,Kumbarawada,3073,2260,-26,D,,
T,YELLAPUR,2668,2313,-13,N,,
H,Yellapur,2668,2588,-3,N,,
H,Manchikeri,1989,2119,7,N,,
T,Dandelli,1540,1586,3,N,,
H,Dhandeli,1540,1600,4,N,,
D,YADGIR,719,933,30,E,,
T,Shahapur,848,891,5,N,,
H,Shahpur,848,932,10,N,,
H,Doranahlli,816,883,8,N,,
H,Gogi,775,948,22,E,,
H,Hayyalbuzurg,735,983,34,E,,
T,Shorapur,721,894,24,E,,
H,Shorapur,721,1005,39,E,,
H,Kakkeri,576,892,55,E,,
H,Kembhavi,584,914,57,E,,
T,Yadgir,908,926,2,N,,
H,Yadgir,908,899,-1,N,,
H,Balichakra,773,828,7,N,,
H,Hattikuni,854,1027,20,E,,
H,Saidapur,754,1003,33,E,,
T,Gurumithakala,773,1011,31,E,,
H,Gurmitakal,773,1025,33,E,,
H,Konakal,776,1078,39,E,,
H,Balichakra,763,1077,41,E,,
T,Vadagera,617,958,55,E,,
H,Wadagera,617,1014,64,LE,,
H,Doranahlli,715,1178,65,LE,,
H,Hayyala Buzurg,722,955,32,E,,
T,Hunisigi,501,869,74,LE,,
H,Hunasagi,501,928,85,LE,,
H,Kodekal,622,892,44,E,,
H,Kakkera,571,890,56,E,,
D,VIJAYANAGAR,643,927,44,E,,
T,Hosapete,704,858,22,E,,
H,Hospet,704,805,14,N,,
H,Kamalapura,658,924,40,E,,
H,Mariyammanahalli,673,793,18,N,,
T,Hadagali,641,1018,59,E,,
H,Hadagali,641,912,42,E,,
H,Hirehadagalli,652,989,52,E,,
H,Ittigi,667,1072,61,LE,,
T,HAGARIBOMMANAHALLI,635,852,34,E,,
H,Hagaribommanahalli,635,738,16,N,,
H,Hampa Sagara,617,954,55,E,,
H,Tambarahalli,628,846,35,E,,
H,Kogali,617,806,31,E,,
T,HARAPPANAHALLI,755,1015,35,E,,
H,Harapanahalli,755,900,19,N,,
H,Arasikere,656,1100,68,LE,,
H,Chigateri,761,879,16,N,,
H,Telagi,665,1139,71,LE,,
T,Kotturu,533,963,81,LE,,
H,Kotturu,533,955,79,LE,,
H,Kogali,641,890,39,E,,
H,Hoshalli,560,893,59,E,,
T,Kampli,531,904,70,LE,,
H,Kampli,531,865,63,LE,,
H,Kurugodu,553,937,70,LE,,
,1.SIK,714,1246,75,LE,,
,2.NIK,702,915,30,E,,
,3.MALNAD,1950,2303,18,N,,
,4.COASTAL,3518,3672,4,N,,
,State,1153,1474,28,E,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
